,Glucose_F,Galactose_F,Sucrose_F,Maltose_F,Lactose_F,Raffinose_F,Trehalose_F,Glucose,Inulin,Sucrose,Raffinose,Melibiose,Galactose,Lactose,Trehalose,Maltose,Melezitose,Methyl-?-D-glucoside,Soluble Starch,Cellobiose,Salicin,L-Sorbose,L-Rhamnose,D-Xylose,L-Arabinose,D-Arabinose,D-Ribose,Methanol,Ethanol,Glycerol,Erythritol,Ribitol,Galactitol,D-Mannitol,D-Glucitol,myo-Inositol,DL-Lactate,Succinate,Citrate,D-Gluconate,D-Glucosamine,Nitrate,Vitamin-free,2-Keto-D-gluconate,Starch formation,Growth at 19°C,Growth at 25°C,Growth at 30°C,Growth at 37°C
Myxozyma,0,0,0,0,0,0,0,1,0,0,0,1,1,0.5,0,0,0,0,0,1,1,0.5,0,1,1,1,1,0,1,1,0,1,0,0.5,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0
Myxozyma,0,0,0,0,0,0,0,1,0,1,0.5,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0.5,0,0,0,1,1,1,1,1,0
Myxozyma,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.5,1,1,1,0,1,1,1,1,1,1,0.5,0.5,0,1,1,0,1,0,1,1,0,0.5,1,1,1,0,0,0,1,1,1,1,1,1
Myxozyma,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0
Myxozyma,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0
Myxozyma,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0
Myxozyma,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1
Myxozyma,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
Myxozyma,0,0,0,0,0,0,0,1,0,1,0,0,1,0.5,1,1,1,1,0,1,1,1,0,1,1,1,0.5,0,1,1,0,1,0,0,1,0,1,0.5,0,1,0,0,0,1,1,1,1,1,0
Aciculoconidium,1,0,0.5,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0.5,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0.5,0,0,0,0,1,1,1,0
Clavispora,1,0.5,0.5,0.5,0,0,0.5,1,0,0.5,0,0,0.5,0,1,0.5,0.5,0.5,0,1,0.5,1,1,1,0,0.5,0.5,0,1,1,0,0.5,0,1,0.5,0,0.5,1,0.5,0.5,0.5,0,0,1,0,1,1,1,1
Clavispora,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,0.5,0.5,0,0,1,0,1,1,1,1
Hyphopichia,1,0.5,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0.5,1,1,1,1,0.5,0,1,0.5,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0.5,1,0,1,1,0,1,1,1,0.5
Hyphopichia,1,1,1,0.5,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0.5,1,0,1,1,0,1,1,1,0
Kodamaea,1,NA,NA,NA,NA,NA,NA,1,0.5,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1
Kodamaea,1,NA,NA,NA,NA,NA,NA,1,0.5,1,1,0,0.5,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0.5,0,1,0,0,1,0,1,1,1,0.5
Kodamaea,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,NA,0,0,1,0,1,1,1,NA
Kodamaea,1,NA,NA,NA,NA,NA,NA,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1
Kodamaea,1,1,1,0.5,0,1,0.5,1,0.5,1,1,0,1,0,1,1,0.5,1,0,1,0.5,1,0,0.5,0,0,0.5,0,1,1,0,0.5,0,1,0.5,0,0,0.5,1,0,1,0,0,1,0,1,1,1,1
Metschnikowia,1,0,0,0,0,0,0.5,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0
Metschnikowia,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1
